direnv: loading /var/home/caromel/Code/ucaromel/.envrc
[ACCUM-ENDPOINT] primalAMR=(96,32) timeEz=4.82155131e-03 fluxSumEz_before=0.00000000e+00
[ACCUM-ENDPOINT] primalAMR=(96,128) timeEz=-4.39209354e-03 fluxSumEz_before=0.00000000e+00
[ACCUM-ENDPOINT] primalAMR=(200,128) timeEz=4.55924156e-03 fluxSumEz_before=0.00000000e+00
[ACCUM-ENDPOINT] primalAMR=(200,32) timeEz=-4.98658451e-03 fluxSumEz_before=0.00000000e+00
[ACCUM-ENDPOINT] primalAMR=(96,64) timeEz=5.12355487e-03 fluxSumEz_before=0.00000000e+00
[ACCUM-ENDPOINT] primalAMR=(96,160) timeEz=-3.60221009e-03 fluxSumEz_before=0.00000000e+00
[ACCUM-ENDPOINT] primalAMR=(200,160) timeEz=7.43357347e-03 fluxSumEz_before=0.00000000e+00
[ACCUM-ENDPOINT] primalAMR=(200,64) timeEz=-5.39141048e-03 fluxSumEz_before=0.00000000e+00
[ACCUM-ENDPOINT] primalAMR=(96,128) timeEz=-4.17092427e-03 fluxSumEz_before=-1.09802339e-03
[ACCUM-ENDPOINT] primalAMR=(96,32) timeEz=4.57853166e-03 fluxSumEz_before=1.20538783e-03
[ACCUM-ENDPOINT] primalAMR=(200,128) timeEz=4.32254613e-03 fluxSumEz_before=1.13981039e-03
[ACCUM-ENDPOINT] primalAMR=(200,32) timeEz=-4.72842663e-03 fluxSumEz_before=-1.24664613e-03
[ACCUM-ENDPOINT] primalAMR=(96,160) timeEz=-3.45259109e-03 fluxSumEz_before=-9.00552523e-04
[ACCUM-ENDPOINT] primalAMR=(96,64) timeEz=4.86834513e-03 fluxSumEz_before=1.28088872e-03
[ACCUM-ENDPOINT] primalAMR=(200,64) timeEz=-5.10957131e-03 fluxSumEz_before=-1.34785262e-03
[ACCUM-ENDPOINT] primalAMR=(200,160) timeEz=6.99772159e-03 fluxSumEz_before=1.85839337e-03
[ACCUM-ENDPOINT] primalAMR=(96,32) timeEz=4.35545808e-03 fluxSumEz_before=2.35002074e-03
[ACCUM-ENDPOINT] primalAMR=(200,128) timeEz=4.10581231e-03 fluxSumEz_before=2.22044692e-03
[ACCUM-ENDPOINT] primalAMR=(96,128) timeEz=-3.96779970e-03 fluxSumEz_before=-2.14075445e-03
[ACCUM-ENDPOINT] primalAMR=(96,160) timeEz=-3.32243908e-03 fluxSumEz_before=-1.76370030e-03
[ACCUM-ENDPOINT] primalAMR=(200,32) timeEz=-4.49202273e-03 fluxSumEz_before=-2.42875279e-03
[ACCUM-ENDPOINT] primalAMR=(96,64) timeEz=4.63473540e-03 fluxSumEz_before=2.49797500e-03
[ACCUM-ENDPOINT] primalAMR=(200,160) timeEz=6.58387513e-03 fluxSumEz_before=3.60782377e-03
[ACCUM-ENDPOINT] primalAMR=(200,64) timeEz=-4.85109840e-03 fluxSumEz_before=-2.62524545e-03
[ACCUM-ENDPOINT] primalAMR=(96,32) timeEz=4.15208930e-03 fluxSumEz_before=3.43888527e-03
[ACCUM-ENDPOINT] primalAMR=(96,128) timeEz=-3.78250355e-03 fluxSumEz_before=-3.13270438e-03
[ACCUM-ENDPOINT] primalAMR=(96,160) timeEz=-3.20243245e-03 fluxSumEz_before=-2.59431007e-03
[ACCUM-ENDPOINT] primalAMR=(200,32) timeEz=-4.27700583e-03 fluxSumEz_before=-3.55175847e-03
[ACCUM-ENDPOINT] primalAMR=(200,128) timeEz=3.90870529e-03 fluxSumEz_before=3.24690000e-03
[ACCUM-ENDPOINT] primalAMR=(96,64) timeEz=4.42214538e-03 fluxSumEz_before=3.65665885e-03
[ACCUM-ENDPOINT] primalAMR=(200,64) timeEz=-4.61583113e-03 fluxSumEz_before=-3.83802005e-03
[ACCUM-ENDPOINT] primalAMR=(200,160) timeEz=6.20552530e-03 fluxSumEz_before=5.25379255e-03
[REFLUX] dir=1 side=0 B-AMR=(52,15) E-AMR=(52,16) eComp=2 timeE=3.69433713e-05 fluxSumE=4.47690759e-03 dE=-4.43996422e-03
[REFLUX] dir=1 side=0 B-AMR=(53,15) E-AMR=(53,16) eComp=2 timeE=3.65811686e-05 fluxSumE=4.43312424e-03 dE=-4.39654307e-03
[REFLUX] dir=1 side=0 B-AMR=(54,15) E-AMR=(54,16) eComp=2 timeE=3.60760110e-05 fluxSumE=4.37206553e-03 dE=-4.33598952e-03
[REFLUX] dir=1 side=0 B-AMR=(55,15) E-AMR=(55,16) eComp=2 timeE=3.54298163e-05 fluxSumE=4.29393497e-03 dE=-4.25850516e-03
[REFLUX] dir=1 side=0 B-AMR=(56,15) E-AMR=(56,16) eComp=2 timeE=3.46450390e-05 fluxSumE=4.19902290e-03 dE=-4.16437786e-03
[REFLUX] dir=1 side=0 B-AMR=(50,63) E-AMR=(50,64) eComp=2 timeE=-3.28054149e-05 fluxSumE=-4.11051288e-03 dE=4.07770747e-03
[REFLUX] dir=1 side=0 B-AMR=(57,15) E-AMR=(57,16) eComp=2 timeE=3.37246614e-05 fluxSumE=4.08767605e-03 dE=-4.05395139e-03
[REFLUX] dir=1 side=0 B-AMR=(58,15) E-AMR=(58,16) eComp=2 timeE=3.26721826e-05 fluxSumE=3.96030287e-03 dE=-3.92763068e-03
[REFLUX] dir=1 side=0 B-AMR=(59,15) E-AMR=(59,16) eComp=2 timeE=3.14916062e-05 fluxSumE=3.81737210e-03 dE=-3.78588049e-03
[REFLUX] dir=1 side=0 B-AMR=(51,63) E-AMR=(51,64) eComp=2 timeE=-3.27391117e-05 fluxSumE=-4.10220532e-03 dE=4.06946621e-03
[REFLUX] dir=1 side=0 B-AMR=(60,15) E-AMR=(60,16) eComp=2 timeE=3.01874250e-05 fluxSumE=3.65941163e-03 dE=-3.62922421e-03
[REFLUX] dir=1 side=0 B-AMR=(61,15) E-AMR=(61,16) eComp=2 timeE=2.87646048e-05 fluxSumE=3.48700754e-03 dE=-3.45824293e-03
[REFLUX] dir=1 side=0 B-AMR=(0,15) E-AMR=(0,16) eComp=2 timeE=-3.69764030e-05 fluxSumE=-4.62100993e-03 dE=4.58403352e-03
[REFLUX] dir=1 side=0 B-AMR=(1,15) E-AMR=(1,16) eComp=2 timeE=-3.69028397e-05 fluxSumE=-4.61142553e-03 dE=4.57452269e-03
[REFLUX] dir=1 side=0 B-AMR=(2,15) E-AMR=(2,16) eComp=2 timeE=-3.66824429e-05 fluxSumE=-4.58389366e-03 dE=4.54721122e-03
[REFLUX] dir=1 side=0 B-AMR=(52,63) E-AMR=(52,64) eComp=2 timeE=-3.25404548e-05 fluxSumE=-4.07833026e-03 dE=4.04578981e-03
[REFLUX] dir=1 side=0 B-AMR=(53,63) E-AMR=(53,64) eComp=2 timeE=-3.22102012e-05 fluxSumE=-4.03854086e-03 dE=4.00633065e-03
[REFLUX] dir=1 side=0 B-AMR=(54,63) E-AMR=(54,64) eComp=2 timeE=-3.17496100e-05 fluxSumE=-3.98304980e-03 dE=3.95130019e-03
[REFLUX] dir=1 side=0 B-AMR=(62,15) E-AMR=(62,16) eComp=2 timeE=2.72285659e-05 fluxSumE=3.30080250e-03 dE=-3.27357393e-03
[REFLUX] dir=1 side=0 B-AMR=(63,15) E-AMR=(63,16) eComp=2 timeE=2.55851639e-05 fluxSumE=3.10149347e-03 dE=-3.07590830e-03
[REFLUX] dir=1 side=0 B-AMR=(64,15) E-AMR=(64,16) eComp=2 timeE=2.38406702e-05 fluxSumE=2.88983056e-03 dE=-2.86598989e-03
[REFLUX] dir=1 side=0 B-AMR=(65,15) E-AMR=(65,16) eComp=2 timeE=2.20017548e-05 fluxSumE=2.66661639e-03 dE=-2.64461464e-03
